,x1,x2,y
0,2.4958110329927075,2.407477153640928,0
1,1.2174646398018045,2.433010495592845,0
2,1.0019695528274097,2.7430376467617252,0
3,1.593126617675741,1.1000962676480661,0
4,1.0039370047376215,1.569088223636549,0
5,1.6412753047710862,1.8736239651044373,1
6,1.1849556612446779,2.1609526695449293,0
7,2.1825562192188093,2.3053050183828057,1
8,1.383893258752437,2.417532763673437,0
9,2.8234492112012686,2.2135117951329333,1
10,2.777602313515035,1.5881447281025272,1
11,1.975211585661858,2.675482808757426,0
12,1.550557537614539,1.5115553712736067,1
13,1.2053788843605742,1.8441348512390614,1
14,1.1841531780970251,1.0151479129016878,0
15,2.711485568062389,2.5157643151328575,0
16,2.509567009202666,2.1646801946602716,1
17,1.7212839060880296,1.1892627859716849,0
18,1.0794202295316995,2.557512436217431,0
19,2.764201950876352,1.3125662983418096,0
20,2.014759921277328,1.2558702939711472,0
21,2.473834986433431,2.7476849155549665,0
22,2.672302606790997,2.6460688960462377,0
23,1.3056148688039522,1.6843723911531303,1
24,2.0175595843028606,1.9592325133661752,1
25,2.801612151809713,1.8092195346238513,1
26,1.5027751490360746,2.4691127694624946,0
27,1.3278954507920526,2.915698615322449,0
28,2.1919437533020476,1.669190558743823,1
29,2.982157941360024,1.705393437621675,0
30,1.8270877497256934,1.156597911815056,0
31,1.6232194875614676,2.968607498003869,0
32,2.4817953148952068,1.0809978131226776,0
33,1.287976088813549,2.6389034022985136,0
34,2.0762234695296753,1.4689739639961332,0
35,2.2419157726161356,1.4328889514110672,0
36,2.1039073132550286,1.4689161484867064,0
37,1.9920805410701041,1.126166845645173,0
38,1.068873294818948,1.5294683990344384,0
39,2.0164764716319716,1.0666382161608015,0
40,1.563258693126256,2.6890342661903786,0
41,2.40198910914022,1.288227521634789,0
42,2.041441347489507,1.7808914878416457,1
43,2.690536534342041,2.437166392160843,0
44,2.3404366979955915,2.306885303929638,1
45,2.904386099876196,1.047874882044695,0
46,1.12813446884289,1.2204014096950426,0
47,2.1859288576148233,1.2025995222515333,0
48,1.2878875776536056,2.639358967039607,0
49,1.9512354720483682,2.3676123373237594,1
50,2.1062268643625073,1.4907451592123089,0
51,2.4460597306298526,2.340197841988725,0
52,1.5062835683747684,1.5427312999696805,1
53,2.5365619672965716,1.0677062687025611,0
54,2.687939373851108,2.2818224872170236,0
55,1.940189939398818,2.590966506285261,0
56,2.9661298607103386,2.487766666248004,0
57,1.351622721146922,1.991149526593154,1
58,1.4227927906329,1.5951739246714658,1
59,1.4265140689794624,2.399860546688009,0
60,2.3516599677621213,2.5354562139087067,0
61,2.608925785315738,2.451511615426724,0
62,2.72611331213832,2.2940445955050075,1
63,1.4452060286362833,2.183769320561278,1
64,1.8086736968571053,2.821246523463348,0
65,2.003359843307629,2.2180011405476137,1
66,2.550229523144829,2.1439433821423273,1
67,1.3483067411820353,2.1037628195419584,1
68,1.654531810521752,1.769873328420098,1
69,1.6428041215412899,2.243779769422747,1
70,1.5227733318338732,1.8379789577449392,1
71,2.9194701882250094,1.4478968329985804,0
72,1.607275356351528,1.8645885786034133,1
73,2.1906039552198333,2.9460657190351087,0
74,1.775134741995132,1.4873032471513212,1
75,2.35314195694066,1.4812172741589875,0
76,2.008962902907167,1.3327111944957877,0
77,1.3446149289202207,2.2261603665109497,1
78,2.560645836877608,2.1441724063414354,1
79,1.8308672818945695,2.0995124092241326,1
80,2.099492538622168,2.5117648723170696,1
81,2.1921970582518595,2.4017005560365927,1
82,1.2036351790204871,2.517234290834149,0
83,1.0670737271812751,2.2238458086899553,0
84,1.6353638044239918,1.5249821944636217,1
85,1.3755065234312962,1.6837062200113861,1
86,1.6701620123586147,1.1709821000904215,0
87,2.36398839712637,1.3310192888143972,0
88,1.0837585633106306,2.7285656222659362,0
89,2.2544931988959123,2.8597419627778127,0
90,2.484625180893593,2.3893534097055644,0
91,1.4762135583772813,2.0730759457671866,1
92,2.184469058160321,2.3203004514297954,1
93,2.323563448409314,1.3250429568800537,0
94,1.5835477308782175,2.9280213152098273,0
95,2.6647592081322644,2.8194504349715737,0
96,2.9535158987286536,1.2400417278358415,0
97,2.3194057533397205,2.8171513743062464,0
98,2.4720554525731266,1.4119973102169887,0
99,1.2981550786759326,2.2885614235857785,0
100,1.75,2.4,0
101,1.7,2.35,0
102,1.085,1.9,0
103,1.07,1.75,0
104,2.935,2.0,0
105,2.92,2.1,0
106,2.915,1.9,0
107,2.95,2.2,0
108,1.5,1.35,1
109,1.48,1.38,1
110,1.51,1.377,1
111,1.47,1.39,1
112,1.40,1.41,1
113,1.45,1.399,1
114,1.1,1.99,0
115,1.05,2.1,0
116,1.08,1.75,0
117,1.12,2.05,0
118,1.01,1.28,0
119,1.02,1.9,0
120,1.05,1.7,0
